,city,price
804,washingtondc,24500
805,washingtondc,1500
806,washingtondc,95000
807,washingtondc,1500
808,washingtondc,1500
809,washingtondc,10500
810,washingtondc,1500
811,washingtondc,219900
812,washingtondc,24900
813,washingtondc,101900
814,washingtondc,79900
815,washingtondc,24900
816,washingtondc,120900
817,washingtondc,63900
818,washingtondc,12900
819,washingtondc,179900
820,washingtondc,109900
821,washingtondc,42900
822,washingtondc,94900
823,washingtondc,89900
824,washingtondc,79900
825,washingtondc,24900
826,washingtondc,24900
827,washingtondc,49900
828,washingtondc,149900
829,washingtondc,106900
830,washingtondc,69900
831,washingtondc,49900
832,washingtondc,30900
833,washingtondc,26900
834,washingtondc,39900
835,washingtondc,43900
836,washingtondc,24900
837,washingtondc,1500
838,washingtondc,29900
839,washingtondc,59900
840,washingtondc,29900
841,washingtondc,64900
842,washingtondc,28900
843,washingtondc,24900
844,washingtondc,24900
845,washingtondc,21900
846,washingtondc,18900
847,washingtondc,29900
848,washingtondc,106900
849,washingtondc,34900
850,washingtondc,28900
851,washingtondc,24900
852,washingtondc,24900
853,washingtondc,79900
854,washingtondc,27900
855,washingtondc,34900
856,washingtondc,84900
857,washingtondc,263900
858,washingtondc,116900
859,washingtondc,2000
860,washingtondc,21900
861,washingtondc,19900
862,washingtondc,28995
863,washingtondc,19900
864,washingtondc,49900
865,washingtondc,59900
866,washingtondc,36900
867,washingtondc,22900
868,washingtondc,19900
869,washingtondc,17900
870,washingtondc,319900
871,washingtondc,36900
872,washingtondc,59900
873,washingtondc,264900
874,washingtondc,59900
875,washingtondc,39900
876,washingtondc,23900
877,winchester,225
878,winchester,2430
879,winchester,1805
880,winchester,87500
881,winchester,45000
882,winchester,45000
883,winchester,11003
884,winchester,5000
885,winchester,2509
886,winchester,21500
887,winchester,50
888,winchester,23500
889,winchester,12900
890,winchester,2450
891,winchester,3500
892,winchester,17500
893,winchester,17500
894,winchester,3995
895,winchester,2480
896,winchester,11500
897,winchester,14999
898,winchester,6999
899,winchester,13500
900,winchester,5300
901,winchester,3000
902,winchester,19500
903,winchester,4100
904,winchester,3000
905,winchester,40000
906,winchester,7000
907,winchester,49876
908,winchester,2500
909,winchester,7000
910,winchester,12000
911,winchester,4200
